insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-15' , 59,2950,233)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-03' , 34,2950,16)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-24' , 61,2950,50)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-22' , 24,2950,62)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-27' , 42,5990,80)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-12' , 31,5990,115)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-02' , 31,2950,126)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-12' , 52,2950,118)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-29' , 55,5990,122)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-20' , 100,2950,121)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-07' , 123,2950,43)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-05' , 7,5990,103)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-08' , 97,5990,169)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-16' , 102,3300,240)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-02' , 127,1750,65)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-07' , 73,3300,174)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-07' , 60,1750,89)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-05' , 50,2950,164)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-22' , 129,1750,217)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-19' , 16,2950,179)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-19' , 75,5990,93)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-27' , 128,5990,192)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-31' , 45,2950,30)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-13' , 113,2950,173)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-23' , 87,2950,112)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-14' , 39,3300,94)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-17' , 113,2950,153)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-29' , 20,2950,116)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-17' , 102,2950,130)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-22' , 115,2950,43)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-17' , 122,5990,15)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-03-07' , 62,1750,206)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-17' , 27,2950,160)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-04' , 61,5990,82)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-08' , 120,2950,19)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-07' , 34,5990,117)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-26' , 94,2950,23)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-13' , 87,5990,227)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-27' , 23,3300,67)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-05' , 128,2950,77)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-03-12' , 51,2950,44)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-08' , 89,2950,111)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-03-14' , 112,5990,91)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-27' , 25,2950,130)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-25' , 80,2950,53)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-03-06' , 80,5990,230)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-23' , 61,2950,161)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-14' , 126,2950,116)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-10' , 30,5990,170)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-15' , 109,2950,161)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-14' , 90,2950,127)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-02' , 54,2950,70)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-07' , 26,2950,12)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-12' , 73,2950,176)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-02' , 122,2950,174)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-16' , 20,2950,116)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-31' , 47,2950,189)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-07' , 17,2950,213)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-13' , 75,2950,226)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-25' , 126,5990,239)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-09' , 22,5990,177)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-28' , 52,5990,130)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-02' , 11,3300,44)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-10' , 125,1750,98)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-16' , 50,2950,30)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-13' , 55,2950,188)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-11-26' , 129,2950,187)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-12-07' , 121,2950,83)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-06' , 29,2950,54)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-19' , 70,2950,208)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-23' , 97,2950,171)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-24' , 80,5990,26)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-26' , 68,2950,87)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-11' , 5,2950,10)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-21' , 33,2950,55)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-23' , 86,3300,210)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-30' , 86,2950,202)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-03-01' , 105,2950,122)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-27' , 31,2950,74)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-13' , 96,2950,36)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-29' , 118,2950,40)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-10' , 18,5990,113)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-03-07' , 119,5990,236)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-11' , 118,1750,168)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-25' , 99,2950,12)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-03-04' , 126,2950,2)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-14' , 70,5990,189)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-25' , 56,2950,108)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-23' , 51,2950,163)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-01' , 25,3300,157)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-03' , 109,2950,153)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-28' , 85,2950,20)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-13' , 27,2950,180)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-02' , 23,3300,239)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-05' , 83,5990,184)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-12' , 42,5990,116)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-25' , 86,2950,188)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-11' , 17,5990,16)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-21' , 77,2950,152)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-04-11' , 30,2950,237)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-02' , 127,5990,114)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-08-20' , 109,2950,167)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-06-24' , 110,1750,98)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-25' , 33,2950,82)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-05-23' , 127,5990,46)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-03-05' , 17,3300,188)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-15' , 85,2950,73)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-26' , 127,2950,50)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-03-08' , 67,1750,134)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-07-03' , 48,2950,183)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-14' , 31,2950,208)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-12' , 124,5990,67)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-25' , 49,3300,163)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-02-05' , 84,2950,124)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-29' , 109,2950,222)
insert into leads (date_add, Good, SellPrice, customerid) values ('2021-01-05' , 78,2950,52)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-02-08' , 50,2950,92)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-10-13' , 3,2950,171)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-01-10' , 118,2950,223)
insert into leads (date_add, Good, SellPrice, customerid) values ('2020-09-18' , 15,2950,213)
